DATE,SP500,T10YFF,CORESTICKM159SFRBATL,PCE,JTSJOL
1987-12-01,.,2.2150000000000000,4.291749243,3174.1,.
1988-01-01,.,1.8136842105263158,4.373233966,3213.7,.
1988-02-01,.,1.6355000000000000,4.375628463,3221.4,.
1988-03-01,.,1.7852173913043478,4.440936865,3260.5,.
1988-04-01,.,1.8170000000000000,4.37597416,3263.0,.
1988-05-01,.,2.0366666666666667,4.432652625,3293.6,.
1988-06-01,.,1.3890909090909091,4.673118224,3318.5,.
1988-07-01,.,1.3105000000000000,4.70086963,3342.7,.
1988-08-01,.,1.2595652173913043,4.674256215,3368.0,.
1988-09-01,.,0.77952380952380952381,4.721200474,3375.0,.
1988-10-01,.,0.50400000000000000000,4.607887381,3413.7,.
1988-11-01,.,0.60150000000000000000,4.742903047,3430.2,.
1988-12-01,.,0.33380952380952380952,4.790034691,3459.7,.
1989-01-01,.,-0.05950000000000000000,4.748201473,3483.7,.
1989-02-01,.,-0.20263157894736842105,4.783533199,3488.0,.
1989-03-01,.,-0.50636363636363636364,4.750414948,3498.8,.
1989-04-01,.,-0.66350000000000000000,4.618488017,3543.0,.
1989-05-01,.,-0.97500000000000000000,4.742747969,3551.8,.
1989-06-01,.,-1.2490909090909091,4.74510822,3566.6,.
1989-07-01,.,-1.2000000000000000,4.893807623,3585.7,.
1989-08-01,.,-0.89086956521739130435,4.854148787,3620.6,.
1989-09-01,.,-0.84050000000000000000,4.669891213,3621.9,.
1989-10-01,.,-0.82761904761904761905,4.802933382,3633.6,.
1989-11-01,.,-0.71047619047619047619,4.797568826,3643.3,.
1989-12-01,.,-0.68700000000000000000,4.829006386,3684.2,.
1990-01-01,.,-0.05000000000000000000,4.905908309,3730.7,.
1990-02-01,.,0.22631578947368421053,4.91755923,3728.2,.
1990-03-01,.,0.30590909090909090909,5.19152475,3754.9,.
1990-04-01,.,0.51300000000000000000,5.276985365,3770.0,.
1990-05-01,.,0.60727272727272727273,5.166732439,3775.8,.
1990-06-01,.,0.18476190476190476190,5.370697673,3804.5,.
1990-07-01,.,0.32428571428571428571,5.516605952,3821.7,.
1990-08-01,.,0.60217391304347826087,5.836270781,3848.3,.
1990-09-01,.,0.62736842105263157895,5.930360317,3870.1,.
1990-10-01,.,0.58318181818181818182,5.798506168,3870.6,.
1990-11-01,.,0.56400000000000000000,5.683108196,3871.9,.
1990-12-01,.,0.73750000000000000000,5.651092078,3861.3,.
1991-01-01,.,0.98380952380952380952,5.815290409,3841.0,.
1991-02-01,.,1.5742105263157895,5.8623588,3866.7,.
1991-03-01,.,1.9170000000000000,5.474284579,3913.0,.
